live/beta,desease,status,model_output,symptoms
beta,Infarct,pass,"Infarct, Ischemia","Sweating, Heaviness, Sudden, Left arm, Infarct, Age<50, TOB (Tobacco), CTA (Computed Tomography Angiography), Sbp>140 (systolic blood pressure is greater than 140), Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100)"
beta,Infarct,pass,"Eso rupture, Infarct","Sudden, Central, Nausea, Jaw, CAD (Coronary artery disease), Age<40, GreaterCRF's (Chronic renal failure), Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis, Sbp>140 (systolic blood pressure is greater than 140), CTA (Computed Tomography Angiography)"
beta,Pericarditis,pass,"Pericarditis, MS","Stabbing, Severe, Subacute, Positional, Auto immune, Age<30, CP1Day (cytopathologists), T>100.4 (temperature is greater than 100.4), JVD> 4cm (jugular venous distension greater than 4 centimeters), RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100)"
beta,Aortic Dissection,pass,"Aortic Dissection, Pericarditis","Radiating to Back, Squeezing, Radiates, Tearing, CTD (connective tissue disease), Age<40, HLD (Hyperlipidemia), Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis, Murmur Diastolic, HR>100 (heart rate greater than 100)"
beta,Pericarditis,pass,"Pericarditis, Aortic Dissection","Improvement with Bending, Persistent, Onset at rest, Radiating to Back, Auto immune, Age<50, CP1Day (cytopathologists), RR>20 (respiratory rate is greater than 20), JVD> 4cm (jugular venous distension greater than 4 centimeters), Diaphoresis, T>100.4 (temperature is greater than 100.4)"
beta,Ischemia,pass,"Infarct, Ischemia","Severe, Jaw, Dull, Squeezing, CAD (Coronary artery disease), Age<50, DM (Diabetes mellitus), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,MS,pass,"MS, CHF","Tender, Hours, Improvement with Bending, Fleeting, Musculoskeletal, Age>65, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,Pericarditis,pass,"Pericarditis, Infarct","Dull, Positional, Diffuse, Retrosternal, Pericarditis, Age<20, CP1Day (cytopathologists), Diaphoresis, JVD> 4cm (jugular venous distension greater than 4 centimeters), T>100.4 (temperature is greater than 100.4), Pericardial rub"
beta,Infarct,pass,"Infarct, Ischemia","Onset at rest, Minutes, Exertional, Left arm, Infarct, Age<20, HTN (Hypertension), Sbp>140 (systolic blood pressure is greater than 140), CTA (Computed Tomography Angiography), HR>100 (heart rate greater than 100), Diaphoresis"
beta,CHF,pass,"CHF, Pulmonary","Short of breath, Subacute, Exertional, Cough, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<30, HTN (Hypertension), S3, Sbp>140 (systolic blood pressure is greater than 140), O2sat < 90 (oxygen saturation level is less than 90), Rales"
beta,Pericarditis,pass,"Pericarditis, PE","Gradual, Squeezing, Pleuritic, Radiates, Auto immune, Age<30, CP1Day (cytopathologists), Pericardial rub, T>100.4 (temperature is greater than 100.4), JVD> 4cm (jugular venous distension greater than 4 centimeters), Diaphoresis"
beta,Eso rupture,pass,"Eso rupture, Infarct","Severe, Nausea, Boring, Dysphagia, Hx ESO, Age<30, Trauma, Diaphoresis, HR>100 (heart rate greater than 100), RR>20 (respiratory rate is greater than 20), Sbp< 100 (systolic blood pressure is less than 100)"
beta,PE,pass,"PE, Eso rupture","Radiates, Severe, Burning, Sudden, Coagulopathy, Age<40, Travel, Sbp< 100 (systolic blood pressure is less than 100), RR>20 (respiratory rate is greater than 20), O2sat < 90 (oxygen saturation level is less than 90), Pleural Rub"
beta,GI,pass,"GI, Eso rupture","Pressure, Intermittent, Hours, Eating, G.I. (gastrointestinal), Age<50, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Pericarditis,pass,"Pericarditis, MS","Sharp, Heaviness, Positional, Dull, Pericarditis, Age<40, CP1Day (cytopathologists), Diaphoresis, T>100.4 (temperature is greater than 100.4), RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100)"
beta,MS,pass,"MS, PE","Seconds, Hours, Stabbing, Sharp, Musculoskeletal, Age<40, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,Ischemia,pass,"Infarct, Ischemia","Radiates, Dull, Pressure, Diffuse, Infarct, Age<50, DM (Diabetes mellitus), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,MS,pass,"MS, CHF","Positional, Stabbing, Improvement with Bending, Weeks, Musculoskeletal, Age>65, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,MS,pass,"MS, CHF","Positional, Hours, Fleeting, Days, Musculoskeletal, Age<60, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,Ischemia,pass,"Infarct, Ischemia","Exertional, Nausea, Pressure, Persistent, Infarct, Age<60, CP1Day (cytopathologists), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Pulmonary,pass,"Pulmonary, Pericarditis","Days, Persistent, Gradual, Subacute, COPD (Chronic obstructive pulmonary disease), Age<20, CP1Day (cytopathologists), O2sat < 90 (oxygen saturation level is less than 90), T>100.4 (temperature is greater than 100.4), Diaphoresis, HR>100 (heart rate greater than 100)"
beta,GI,pass,"GI, Eso rupture","Vomiting, Boring, Dull, Radiates, G.I. (gastrointestinal), Age<50, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Aortic Dissection,pass,"Aortic Dissection, Eso rupture","Tearing, Radiating to Back, Pressure, Central, CTD (connective tissue disease), Age>65, DM (Diabetes mellitus), HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), Un= pulses (unequal pulse), Diaphoresis"
beta,Pulmonary,pass,"Pulmonary, Pericarditis","Persistent, Subacute, Days, Cough, COPD (Chronic obstructive pulmonary disease), Age<40, HLD (Hyperlipidemia), RR>20 (respiratory rate is greater than 20), Diaphoresis, HR>100 (heart rate greater than 100), T>100.4 (temperature is greater than 100.4)"
beta,PE,pass,"PE, Infarct","Severe, Short of breath, Intermittent, Sudden, Coagulopathy, Age>65, Bed ridden, R S3, RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100), Pleural Rub"
beta,MS,pass,"MS, GI","Fleeting, Ache, Stabbing, Minutes, Musculoskeletal, Age>65, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,PE,pass,"PE, MS","Hours, Persistent, Sharp, Burning, Coagulopathy, Age>65, Calf pain/swell, Diaphoresis, O2sat < 90 (oxygen saturation level is less than 90), R S3, HR>100 (heart rate greater than 100)"
beta,MS,pass,"MS, GI","Right side, Seconds, Minutes, Days, Musculoskeletal, Age<60, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,GI,pass,"GI, Aortic Dissection","Onset at rest, Hours, Right side, Pressure, G.I. (gastrointestinal), Age>65, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Ischemia,pass,"Ischemia, Infarct","Persistent, Heaviness, Nitrate relief, Jaw, CAD (Coronary artery disease), Age<40, HLD (Hyperlipidemia), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,AS/AI,pass,"AS/AI, Ischemia","Diffuse, Syncope, Dull, Months, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<30, HLD (Hyperlipidemia), Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100), Low carotid puls, S3"
beta,CHF,pass,"CHF, Pulmonary","Gradual, Heaviness, Cough, Short of breath, CHF (congestive heart failure), Age<40, CP1Day (cytopathologists), Edema, RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100), S3"
beta,PE,pass,"PE, Eso rupture","Persistent, Pressure, Severe, Stabbing, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age<50, Recent surgery , HR>100 (heart rate greater than 100), O2sat < 90 (oxygen saturation level is less than 90), Pleural Rub, R S3"
beta,Aortic Dissection,pass,"Aortic Dissection, AS/AI","Minutes, Squeezing, Radiating to Back, Retrosternal, CTD (connective tissue disease), Age<40, GreaterCRF's (Chronic renal failure), HR>100 (heart rate greater than 100), BP differential, Murmur Diastolic, Sbp>140 (systolic blood pressure is greater than 140)"
beta,AS/AI,pass,"AS/AI, Ischemia","Retrosternal, Nitrate relief, Intermittent, Months, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<30, HLD (Hyperlipidemia), JVD> 4cm (jugular venous distension greater than 4 centimeters), CTA (Computed Tomography Angiography), Murmur systolic, Sbp< 100 (systolic blood pressure is less than 100)"
beta,Eso rupture,pass,"Eso rupture, Aortic Dissection","Radiates, Tearing, Sweating, Splitting, Crepitus, Age<30, CP1Day (cytopathologists), HR>100 (heart rate greater than 100), Abd tender (Abdominal tender), Sbp< 100 (systolic blood pressure is less than 100), RR>20 (respiratory rate is greater than 20)"
beta,AS/AI,pass,"AS/AI, CHF","Short of breath, Syncope, Squeezing, Nitrate relief, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<60, HTN (Hypertension), Murmur systolic, Sbp< 100 (systolic blood pressure is less than 100), Low carotid puls, S3"
beta,CHF,pass,"CHF, Pulmonary","Subacute, Heaviness, Cough, Short of breath, CAD (Coronary artery disease), Age<20, HTN (Hypertension), Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100), Sbp>140 (systolic blood pressure is greater than 140), S3"
beta,PE,pass,"PE, Eso rupture","Burning, Onset at rest, Sudden, Intermittent, Coagulopathy, Age<40, Recent surgery , Pleural Rub, Sbp< 100 (systolic blood pressure is less than 100), R S3, Diaphoresis"
beta,GI,pass,"GI, Eso rupture","Intermittent, Acid reflux, Retrosternal, Vomiting, G.I. (gastrointestinal), Age<40, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Eso rupture,pass,"Eso rupture, Infarct","Central, Sweating, Eating, Sudden, Esophagus, Age<50, Trauma, HR>100 (heart rate greater than 100), Sbp< 100 (systolic blood pressure is less than 100), Abd tender (Abdominal tender), Diaphoresis"
beta,Pericarditis,pass,"Pericarditis, Pulmonary","Heaviness, Sharp, Days, Subacute, Pericarditis, Age<20, CP1Day (cytopathologists), HR>100 (heart rate greater than 100), T>100.4 (temperature is greater than 100.4), JVD> 4cm (jugular venous distension greater than 4 centimeters), Diaphoresis"
beta,GI,pass,"GI, Eso rupture","Nausea, Vomiting, Ache, Onset at rest, G.I. (gastrointestinal), Age>65, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,MS,pass,"MS, CHF","Improvement with Bending, Weeks, Minutes, Sharp, Musculoskeletal, Age>65, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,CHF,pass,"CHF, Infarct","Heaviness, Gradual, Tightness, Exertional, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<40, CP1Day (cytopathologists), JVD> 4cm (jugular venous distension greater than 4 centimeters), Rales, HR>100 (heart rate greater than 100), O2sat < 90 (oxygen saturation level is less than 90)"
beta,Eso rupture,pass,"Eso rupture, Infarct","Sudden, Severe, Sweating, Dysphagia, Crepitus, Age>65, CP1Day (cytopathologists), Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100), RR>20 (respiratory rate is greater than 20)"
beta,CHF,pass,"CHF, Infarct","Gradual, Heaviness, Exertional, Cough, Infarct, Age<20, HTN (Hypertension), Edema, Sbp< 100 (systolic blood pressure is less than 100), JVD> 4cm (jugular venous distension greater than 4 centimeters), Rales"
beta,AS/AI,pass,"AS/AI, Infarct","Months, Squeezing, Tightness, Diffuse, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age>65, HTN (Hypertension), Rales, Sbp< 100 (systolic blood pressure is less than 100), Murmur systolic, CTA (Computed Tomography Angiography)"
beta,Aortic Dissection,pass,"Aortic Dissection, Infarct","Heaviness, Sudden, Retrosternal, Radiating to Back, CTD (connective tissue disease), Age<20, HLD (Hyperlipidemia), BP differential, Sbp>140 (systolic blood pressure is greater than 140), Murmur Diastolic, HR>100 (heart rate greater than 100)"
beta,AS/AI,pass,"AS/AI, Ischemia","Dull, Diffuse, Left side, Syncope, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<60, HTN (Hypertension), Murmur Diastolic, Sbp< 100 (systolic blood pressure is less than 100), JVD> 4cm (jugular venous distension greater than 4 centimeters), HR>100 (heart rate greater than 100)"
beta,MS,pass,"MS, Pericarditis","Tender, Persistent, Sharp, Days, Musculoskeletal, Age<60, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,CHF,pass,"CHF, Pulmonary","Subacute, Cough, Gradual, Exertional, CHF (congestive heart failure), Age<50, CP1Day (cytopathologists), S3, Sbp>140 (systolic blood pressure is greater than 140), O2sat < 90 (oxygen saturation level is less than 90), RR>20 (respiratory rate is greater than 20)"
beta,Infarct,pass,"Infarct, Ischemia","Onset at rest, Squeezing, Sudden, Throat, Infarct, Age<40, FH (Familial history), CTA (Computed Tomography Angiography), Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100)"
beta,Ischemia,fail,"Eso rupture, Infarct","Left side, Radiates, Retrosternal, Onset at rest, CAD (Coronary artery disease), Age<60, HLD (Hyperlipidemia), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Pulmonary,pass,"Pulmonary, Pericarditis","Subacute, Gradual, Days, Fever, COPD (Chronic obstructive pulmonary disease), Age<20, HLD (Hyperlipidemia), Diaphoresis, T>100.4 (temperature is greater than 100.4), HR>100 (heart rate greater than 100), Pleural Rub"
beta,Infarct,pass,"Infarct, Ischemia","Severe, Exertional, Nausea, Jaw, CAD (Coronary artery disease), Age<60, DM (Diabetes mellitus), HR>100 (heart rate greater than 100), Diaphoresis, Sbp>140 (systolic blood pressure is greater than 140), CTA (Computed Tomography Angiography)"
beta,PE,pass,"PE, Eso rupture","Pressure, Onset at rest, Stabbing, Persistent, Coagulopathy, Age<40, Recent surgery , Pleural Rub, HR>100 (heart rate greater than 100), R S3, O2sat < 90 (oxygen saturation level is less than 90)"
beta,PE,pass,"PE, Eso rupture","Intermittent, Stabbing, Pressure, Burning, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age<60, Bed ridden, O2sat < 90 (oxygen saturation level is less than 90), RR>20 (respiratory rate is greater than 20), Diaphoresis, R S3"
beta,CHF,pass,"CHF, Pulmonary","Short of breath, Cough, Exertional, Nitrate relief, CHF (congestive heart failure), Age<40, HTN (Hypertension), HR>100 (heart rate greater than 100), JVD> 4cm (jugular venous distension greater than 4 centimeters), Diaphoresis, RR>20 (respiratory rate is greater than 20)"
beta,Infarct,pass,"Infarct, Ischemia","Nausea, Vomiting, Left arm, Pressure, Infarct, Age<60, GreaterCRF's (Chronic renal failure), HR>100 (heart rate greater than 100), Diaphoresis, Sbp>140 (systolic blood pressure is greater than 140), Sbp< 100 (systolic blood pressure is less than 100)"
beta,AS/AI,pass,"AS/AI, CHF","Months, Subacute, Central, Syncope, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<50, HLD (Hyperlipidemia), Rales, HR>100 (heart rate greater than 100), S3, Low carotid puls"
beta,PE,pass,"PE, Pericarditis","Severe, Onset at rest, Intermittent, Sharp, Coagulopathy, Age<60, Bed ridden, Pleural Rub, R S3, Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100)"
beta,Pulmonary,pass,"Pulmonary, Pericarditis","Fever, Cough, Subacute, Persistent, COPD (Chronic obstructive pulmonary disease), Age<40, GreaterCRF's (Chronic renal failure), O2sat < 90 (oxygen saturation level is less than 90), Diaphoresis, RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100)"
beta,Eso rupture,pass,"Eso rupture, Aortic Dissection","Gripping, Hours, Tearing, Throat, G.I. (gastrointestinal), Age<60, Trauma, Diaphoresis, Abd tender (Abdominal tender), RR>20 (respiratory rate is greater than 20), Sbp< 100 (systolic blood pressure is less than 100)"
beta,PE,pass,"PE, Pericarditis","Burning, Stabbing, Short of breath, Onset at rest, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age>65, Calf pain/swell, Diaphoresis, HR>100 (heart rate greater than 100), Sbp< 100 (systolic blood pressure is less than 100), Pleural Rub"
beta,Ischemia,pass,"Infarct, Ischemia","Central, Dull, Left side, Sudden, Infarct, Age>65, CP1Day (cytopathologists), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,CHF,pass,"CHF, Pulmonary","Cough, Heaviness, Short of breath, Exertional, CAD (Coronary artery disease), Age<20, CP1Day (cytopathologists), Sbp>140 (systolic blood pressure is greater than 140), Sbp< 100 (systolic blood pressure is less than 100), RR>20 (respiratory rate is greater than 20), HR>100 (heart rate greater than 100)"
beta,CHF,pass,"CHF, AS/AI","Exertional, Tightness, Cough, Subacute, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<20, HTN (Hypertension), Edema, JVD> 4cm (jugular venous distension greater than 4 centimeters), Rales, RR>20 (respiratory rate is greater than 20)"
beta,PE,pass,"PE, Pulmonary","Sudden, Pleuritic, Short of breath, Radiates, Coagulopathy, Age<20, Bed ridden, Pleural Rub, R S3, O2sat < 90 (oxygen saturation level is less than 90), Sbp< 100 (systolic blood pressure is less than 100)"
beta,AS/AI,pass,"AS/AI, Ischemia","Exertional, Intermittent, Left side, Syncope, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<60, HLD (Hyperlipidemia), S3, HR>100 (heart rate greater than 100), Murmur Diastolic, Murmur systolic"
beta,Eso rupture,pass,"Eso rupture, Aortic Dissection","Tearing, Throat, Dysphagia, Vomiting, G.I. (gastrointestinal), Age<20, CP1Day (cytopathologists), Sbp< 100 (systolic blood pressure is less than 100), RR>20 (respiratory rate is greater than 20), Diaphoresis, Abd tender (Abdominal tender)"
beta,MS,pass,"MS, Pericarditis","Persistent, Improvement with Bending, Days, Stabbing, Musculoskeletal, Age<60, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,MS,pass,"MS, GI","Fleeting, Ache, Stabbing, Intermittent, Musculoskeletal, Age<20, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,CHF,pass,"AS/AI, CHF","Short of breath, Nitrate relief, Exertional, Tightness, CHF (congestive heart failure), Age<20, CP1Day (cytopathologists), Sbp>140 (systolic blood pressure is greater than 140), O2sat < 90 (oxygen saturation level is less than 90), Sbp< 100 (systolic blood pressure is less than 100), RR>20 (respiratory rate is greater than 20)"
beta,GI,pass,"Aortic Dissection, GI","Burning, Onset at rest, Boring, Radiates, G.I. (gastrointestinal), Age<40, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Eso rupture,pass,"Eso rupture, Pericarditis","Stabbing, Onset at rest, Severe, Jaw, Crepitus, Age<50, CP1Day (cytopathologists), Abd tender (Abdominal tender), Sbp< 100 (systolic blood pressure is less than 100), RR>20 (respiratory rate is greater than 20), Diaphoresis"
beta,MS,pass,"MS, Pericarditis","Sharp, Ache, Stabbing, Improvement with Bending, Musculoskeletal, Age<40, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,Pulmonary,pass,"Pulmonary, PE","Persistent, Subacute, Fever, Gradual, COPD (Chronic obstructive pulmonary disease), Age<60, FH (Familial history), Pleural Rub, RR>20 (respiratory rate is greater than 20), Diaphoresis, HR>100 (heart rate greater than 100)"
beta,Infarct,pass,"Infarct, Ischemia","Throat, Dull, Diffuse, Tightness, Infarct, Age<30, CP1Day (cytopathologists), CTA (Computed Tomography Angiography), Sbp>140 (systolic blood pressure is greater than 140), Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100)"
beta,CHF,pass,"CHF, Infarct","Tightness, Heaviness, Exertional, Short of breath, CAD (Coronary artery disease), Age<50, CP1Day (cytopathologists), Edema, Rales, HR>100 (heart rate greater than 100), JVD> 4cm (jugular venous distension greater than 4 centimeters)"
beta,Infarct,pass,"Infarct, Ischemia","Squeezing, Vomiting, Short of breath, Persistent, Infarct, Age<60, FH (Familial history), CTA (Computed Tomography Angiography), Sbp>140 (systolic blood pressure is greater than 140), Diaphoresis, Sbp< 100 (systolic blood pressure is less than 100)"
beta,Ischemia,pass,"Infarct, Ischemia","Dull, Nausea, Intermittent, Severe, CAD (Coronary artery disease), Age<60, HTN (Hypertension), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,MS,pass,"MS, CHF","Weeks, Persistent, Tender, Sharp, Musculoskeletal, Age<20, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,Eso rupture,pass,"Eso rupture, Aortic Dissection","Tearing, Boring, Severe, Stomach, CTD (connective tissue disease), Age<40, Trauma, RR>20 (respiratory rate is greater than 20), Sbp< 100 (systolic blood pressure is less than 100), HR>100 (heart rate greater than 100), Diaphoresis"
beta,Pulmonary,pass,"Pulmonary, Pericarditis","Days, Gradual, Subacute, Persistent, COPD (Chronic obstructive pulmonary disease), Age>65, CP1Day (cytopathologists), Diaphoresis, T>100.4 (temperature is greater than 100.4), RR>20 (respiratory rate is greater than 20), O2sat < 90 (oxygen saturation level is less than 90)"
beta,Infarct,pass,"Infarct, PE","Short of breath, Pressure, Severe, Minutes, CAD (Coronary artery disease), Age<40, HLD (Hyperlipidemia), HR>100 (heart rate greater than 100), CTA (Computed Tomography Angiography), Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis"
beta,MS,pass,"MS, GI","Tender, Ache, Minutes, Hours, Musculoskeletal, Age<60, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,MS,pass,"MS, GI","Improvement with Bending, Minutes, Weeks, Hours, Musculoskeletal, Age<50, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,Pericarditis,pass,"Pericarditis, Eso rupture","Radiating to Back, Radiates, Burning, Central, Auto immune, Age>65, CP1Day (cytopathologists), T>100.4 (temperature is greater than 100.4), HR>100 (heart rate greater than 100), Diaphoresis, RR>20 (respiratory rate is greater than 20)"
beta,Ischemia,fail,"Eso rupture, Infarct","Severe, Gripping, Tightness, Radiates, CAD (Coronary artery disease), Age<40, FH (Familial history), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,Aortic Dissection,pass,"Aortic Dissection, Eso rupture","Radiating to Back, Minutes, Sudden, Persistent, CTD (connective tissue disease), Age<40, FH (Familial history), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140)"
beta,GI,pass,"GI, Eso rupture","Ache, Onset at rest, Gradual, Eating, G.I. (gastrointestinal), Age<50, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,Infarct,pass,"Infarct, Eso rupture","Jaw, Throat, Short of breath, Gripping, CAD (Coronary artery disease), Age<20, HLD (Hyperlipidemia), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), Sbp< 100 (systolic blood pressure is less than 100)"
beta,AS/AI,pass,"AS/AI, Ischemia","Exertional, Nitrate relief, Dull, Central, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<60, HLD (Hyperlipidemia), Murmur Diastolic, Diaphoresis, Low carotid puls, CTA (Computed Tomography Angiography)"
beta,MS,pass,"MS, CHF","Days, Tender, Fleeting, Positional, Musculoskeletal, Age<60, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,GI,pass,"GI, Aortic Dissection","Minutes, Right side, Central, Stomach, G.I. (gastrointestinal), Age<60, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,CHF,pass,"CHF, AS/AI","Subacute, Nitrate relief, Tightness, Short of breath, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<30, HTN (Hypertension), Diaphoresis, Rales, Sbp>140 (systolic blood pressure is greater than 140), JVD> 4cm (jugular venous distension greater than 4 centimeters)"
beta,Pericarditis,pass,"Pericarditis, Infarct","Radiating to Back, Central, Throat, Squeezing, Auto immune, Age<60, CP1Day (cytopathologists), JVD> 4cm (jugular venous distension greater than 4 centimeters), HR>100 (heart rate greater than 100), T>100.4 (temperature is greater than 100.4), Diaphoresis"
beta,MS,pass,"MS, CHF","Fleeting, Seconds, Days, Tender, Musculoskeletal, Age<20, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,Ischemia,pass,"Ischemia, Infarct","Nitrate relief, Gripping, Sweating, Persistent, CAD (Coronary artery disease), Age<50, CP1Day (cytopathologists), Diaphoresis, HR>100 (heart rate greater than 100), Sbp>140 (systolic blood pressure is greater than 140), RR>20 (respiratory rate is greater than 20)"
beta,PE,pass,"PE, Eso rupture","Stabbing, Severe, Persistent, Pressure, PE/DVT (Deep Vein Thrombosis and Pulmonary Embolism), Age<60, Recent surgery , Pleural Rub, RR>20 (respiratory rate is greater than 20), O2sat < 90 (oxygen saturation level is less than 90), HR>100 (heart rate greater than 100)"
beta,MS,pass,"MS, GI","Right side, Sharp, Minutes, Fleeting, Musculoskeletal, Age<60, CP1Day (cytopathologists), Point tender, Edema, Abd tender (Abdominal tender), S3"
beta,Aortic Dissection,pass,"Aortic Dissection, Eso rupture","Heaviness, Ripping, Retrosternal, Minutes, Aortic dissection, Age<50, HLD (Hyperlipidemia), HR>100 (heart rate greater than 100), Murmur Diastolic, BP differential, Diaphoresis"
beta,GI,pass,"GI, Eso rupture","Acid reflux, Dull, Pressure, Onset at rest, G.I. (gastrointestinal), Age<60, CP1Day (cytopathologists), Abd tender (Abdominal tender), Un= pulses (unequal pulse), BP differential, HR>100 (heart rate greater than 100)"
beta,AS/AI,pass,"AS/AI, Ischemia","Retrosternal, Weeks, Syncope, Left side, AS/AI (Aortic Stenosis/Aortic Insufficiency), Age<50, HLD (Hyperlipidemia), Murmur systolic, Low carotid puls, Sbp< 100 (systolic blood pressure is less than 100), CTA (Computed Tomography Angiography)"
beta,Eso rupture,pass,"Eso rupture, GI","Eating, Persistent, Jaw, Central, Esophagus, Age<50, CP1Day (cytopathologists), RR>20 (respiratory rate is greater than 20), Sbp< 100 (systolic blood pressure is less than 100), Diaphoresis, Abd tender (Abdominal tender)"
beta,Pericarditis,pass,"Pericarditis, GI","Pleuritic, Retrosternal, Gradual, Improvement with Bending, Auto immune, Age<40, CP1Day (cytopathologists), Pericardial rub, JVD> 4cm (jugular venous distension greater than 4 centimeters), HR>100 (heart rate greater than 100), RR>20 (respiratory rate is greater than 20)"
